

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
354.268  000.612  000.612: sourcing /usr/local/Cellar/neovim/0.1.6/share/nvim/runtime/plugin/netrwPlugin.vim
354.373  000.055  000.055: sourcing /usr/local/Cellar/neovim/0.1.6/share/nvim/runtime/plugin/rplugin.vim
354.432  000.016  000.016: sourcing /usr/local/Cellar/neovim/0.1.6/share/nvim/runtime/plugin/rrhelper.vim
354.567  000.092  000.092: sourcing /usr/local/Cellar/neovim/0.1.6/share/nvim/runtime/plugin/shada.vim
354.654  000.030  000.030: sourcing /usr/local/Cellar/neovim/0.1.6/share/nvim/runtime/plugin/spellfile.vim
354.856  000.149  000.149: sourcing /usr/local/Cellar/neovim/0.1.6/share/nvim/runtime/plugin/tarPlugin.vim
354.999  000.099  000.099: sourcing /usr/local/Cellar/neovim/0.1.6/share/nvim/runtime/plugin/tohtml.vim
355.067  000.025  000.025: sourcing /usr/local/Cellar/neovim/0.1.6/share/nvim/runtime/plugin/tutor.vim
355.273  000.165  000.165: sourcing /usr/local/Cellar/neovim/0.1.6/share/nvim/runtime/plugin/zipPlugin.vim
355.394  007.326: loading plugins
355.607  000.214: loading packages
355.618  000.011: inits 3
357.782  002.163: reading ShaDa
358.498  000.716: clearing screen
361.663  000.591  000.591: sourcing /usr/local/Cellar/neovim/0.1.6/share/nvim/runtime/autoload/remote/define.vim
361.765  001.208  000.617: sourcing /Users/stanciua/.local/share/nvim/rplugin.vim
362.528  000.445  000.445: sourcing /Users/stanciua/.vim/plugged/syntastic/autoload/syntastic/log.vim
363.361  000.421  000.421: sourcing /Users/stanciua/.vim/plugged/vim-airline/autoload/airline/extensions.vim
363.858  000.107  000.107: sourcing /Users/stanciua/.vim/plugged/vim-airline/autoload/airline/extensions/quickfix.vim
364.347  000.080  000.080: sourcing /Users/stanciua/.vim/plugged/vim-airline/autoload/airline/extensions/netrw.vim
364.802  000.062  000.062: sourcing /Users/stanciua/.vim/plugged/vim-airline/autoload/airline/extensions/undotree.vim
365.383  000.190  000.190: sourcing /Users/stanciua/.vim/plugged/vim-airline/autoload/airline/extensions/hunks.vim
365.862  000.115  000.115: sourcing /Users/stanciua/.vim/plugged/vim-airline/autoload/airline/extensions/tagbar.vim
366.603  000.346  000.346: sourcing /Users/stanciua/.vim/plugged/vim-airline/autoload/airline/extensions/branch.vim
367.113  000.033  000.033: sourcing /Users/stanciua/.vim/plugged/vim-airline/autoload/airline/extensions/syntastic.vim
367.678  000.162  000.162: sourcing /Users/stanciua/.vim/plugged/vim-airline/autoload/airline/extensions/whitespace.vim
368.149  000.048  000.048: sourcing /Users/stanciua/.vim/plugged/vim-airline/autoload/airline/extensions/neomake.vim
368.685  000.053  000.053: sourcing /Users/stanciua/.vim/plugged/vim-airline/autoload/airline/extensions/wordcount.vim
371.549  000.096  000.096: sourcing /Users/stanciua/.vim/plugged/vim-airline/autoload/airline/section.vim
372.204  000.192  000.192: sourcing /Users/stanciua/.vim/plugged/vim-airline/autoload/airline/highlighter.vim
376.479  000.071  000.071: sourcing /Users/stanciua/.vim/plugged/vim-airline/autoload/airline/themes.vim
377.660  001.623  001.552: sourcing /Users/stanciua/.vim/plugged/vim-airline-themes/autoload/airline/themes/tomorrow.vim
387.049  000.131  000.131: sourcing /Users/stanciua/.vim/plugged/vim-airline/autoload/airline/util.vim
387.627  000.161  000.161: sourcing /Users/stanciua/.vim/plugged/vim-airline/autoload/airline/builder.vim
388.328  000.099  000.099: sourcing /Users/stanciua/.vim/plugged/vim-airline/autoload/airline/extensions/default.vim
423.157  059.087: opening buffers
423.812  000.655: BufEnter autocommands
423.827  000.016: editing files in windows
424.284  000.167  000.167: sourcing /Users/stanciua/.vim/plugged/vim-after-object/autoload/after_object.vim
427.955  000.673  000.673: sourcing /Users/stanciua/.vim/plugged/YouCompleteMe/autoload/youcompleteme.vim
748.707  000.307  000.307: sourcing /Users/stanciua/.vim/plugged/neomake/autoload/neomake/signs.vim
749.352  000.297  000.297: sourcing /Users/stanciua/.vim/plugged/neomake/autoload/neomake/utils.vim
749.897  324.626: VimEnter autocommands
750.469  000.166  000.166: sourcing /usr/local/Cellar/neovim/0.1.6/share/nvim/runtime/autoload/provider/clipboard.vim
750.477  000.414: before starting main loop
751.595  000.699  000.699: sourcing /Users/stanciua/.vim/plugged/neomake/autoload/neomake.vim
759.181  000.152  000.152: sourcing /Users/stanciua/.vim/plugged/vim-signify/autoload/sy.vim
763.028  002.820  002.820: sourcing /Users/stanciua/.vim/plugged/tagbar/autoload/tagbar.vim
1173.637  000.163  000.163: sourcing /Users/stanciua/.vim/plugged/neomake/autoload/neomake/statusline.vim
1176.038  421.728: first screen update
1176.043  000.004: --- NVIM STARTED ---
